NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2|Check that the title element describes the document.|title||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "student-life" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "services" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "find" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "audience" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|hidden-xs sign-in btn btn-primary navbar-btn pull-right|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85|If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.|form|navbar-form form-horizontal container visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90|Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.|form|navbar-form form-horizontal container visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177|Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.|form|navbar-form form-horizontal container visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193|Check that context-sensitive help is available for this form, at a Web-page and/or control level.|form|navbar-form form-horizontal container visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms|Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.|form|navbar-form form-horizontal container visible-xs|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name|This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute.|input|form-control|
ERROR|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NoId|Form control does not have an ID, therefore it cannot have an explicit label.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|button|btn btn-success|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|site-logo navbar-brand|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85|If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.|form|desktop-search form-horizontal container hidden-xs row|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90|Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.|form|desktop-search form-horizontal container hidden-xs row|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177|Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.|form|desktop-search form-horizontal container hidden-xs row|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193|Check that context-sensitive help is available for this form, at a Web-page and/or control level.|form|desktop-search form-horizontal container hidden-xs row|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms|Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.|form|desktop-search form-horizontal container hidden-xs row|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name|This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute.|input|form-control|
ERROR|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NoId|Form control does not have an ID, therefore it cannot have an explicit label.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|button|btn btn-success|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|button|navbar-toggle collapsed|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|navbar-brand visible-xs|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-link|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a|dropdown-toggle dropdown-button|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle dropdown-button|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-link|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a|dropdown-toggle dropdown-button|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle dropdown-button|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.Small|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|small||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img|center-block|
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img|center-block|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img|center-block|
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img|center-block|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img|center-block|
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img|center-block|
WARNING|WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2|Img element is marked so that it is ignored by Assistive Technology.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
WARNING|WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2|Img element is marked so that it is ignored by Assistive Technology.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
WARNING|WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2|Img element is marked so that it is ignored by Assistive Technology.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
WARNING|WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2|Img element is marked so that it is ignored by Assistive Technology.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
WARNING|WCAG2AAA.Principle1.Guideline1_1.1_1_1.H67.2|Img element is marked so that it is ignored by Assistive Technology.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
ERROR|WCAG2AAA.Principle1.Guideline1_3.1_3_1_AAA.G141|The heading structure is not logically nested. This h4 element should be an h3 to be properly nested.|h4||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle3.Guideline3_2.3_2_5.H83.3|Check that this link's link text contains information indicating that the link will open in a new window.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48|If this element contains a navigation section, it is recommended that it be marked up as a list.|div|events list-group|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item events-heading|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|list-group-item|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G94.Image|Ensure that the img element's alt text serves the same purpose and presents the same information as the image.|img||
NOTICE|WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74|If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.|img||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_8.H59.1|Link elements can only be located in the head section of the document.|link||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|btn btn-primary btn-sm|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|btn btn-primary btn-sm|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|btn btn-primary btn-sm|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|btn btn-primary btn-sm|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|btn btn-primary btn-sm|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|footer-column-heading|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
